Categoria;Título;Link;Hora
Sport;Barcelona v Atlético Madrid: La Liga – live!;https://www.theguardian.com/football/live/2019/apr/06/barcelona-v-atletico-madrid-la-liga-live;2019-04-06T19:17:47Z
News;‘Brexit makes picking the Grand National winner look easy’;https://www.theguardian.com/politics/2019/apr/06/brexit-makes-picking-grand-national-winner-look-easy;2019-04-06T18:52:33Z
Sport;Bayern Munich 5-0 Borussia Dortmund: Bundesliga – as it happened;https://www.theguardian.com/football/live/2019/apr/06/bayern-munich-v-borussia-dortmund-bundesliga-live;2019-04-06T18:40:40Z
Sport;Gabriel Jesus fires Manchester City past Brighton and into FA Cup final;https://www.theguardian.com/football/2019/apr/06/manchester-city-brighton-fa-cup-semi-final-match-report;2019-04-06T18:37:29Z
Sport;Tiger Roll makes repeat win look easy to join Grand National greats;https://www.theguardian.com/sport/2019/apr/06/tiger-roll-repeat-win-easy-join-grand-national-greats-horse-racing;2019-04-06T18:35:49Z
News;Javid defends removal of words 'European Union' from passports;https://www.theguardian.com/politics/2019/apr/05/uk-removes-words-european-union-from-british-passports;2019-04-06T18:28:23Z
News;Polish general who fought with Washington may have been a woman;https://www.theguardian.com/us-news/2019/apr/06/casimir-pulaski-polish-general-woman-intersex;2019-04-06T18:13:37Z
Sport;County cricket: Notts v Yorkshire, Somerset v Kent and more – as it happened;https://www.theguardian.com/sport/live/2019/apr/06/county-cricket-notts-v-yorkshire-somerset-v-kent-and-more-live;2019-04-06T18:07:57Z
News;Rapper Tamer Nafar urges Palestinians not to boycott Israel poll;https://www.theguardian.com/world/2019/apr/06/tamer-nafar-israel-elections-benjamin-netanyahu;2019-04-06T18:00:08Z
Opinion;For me, fear about drug supplies is real. I could go blind | Harriet Lane;https://www.theguardian.com/commentisfree/2019/apr/06/for-me-fear-about-drug-supplies-is-real-i-could-go-blind;2019-04-06T18:00:01Z
